"","Title","Artist","Year","Museum","Id"
"111","An Arctic Summer: Boring Through the Pack in Melville Bay","William Bradford",1871,"Met",111
"112","Shipwreck off Nantucket (Wreck off Nantucket after a Storm)","William Bradford",1861,"Met",112
"113","Emma Homan","John Bradley",1844,"Met",113
"114","Marine Landscape","Alfred Thompson Bricher",1895,"Met",114
"115","Captain Graham","Andrew Robertson",1805,"Met",115
"116","Carolyn Mishner","Hugh Bridport",1825,"Met",116
"117","Joel Roberts Poinsett","Hugh Bridport",1843,"Met",117
"118","View at Amalfi, Bay of Salerno","George Loring Brown",1857,"Met",118
"119","Meditation","John George Brown",1910,"Met",119
"120","The Music Lesson","John George Brown",1870,"Met",120
"121","To Decide the Question","John George Brown",1897,"Met",121
"122","Portrait of a Gentleman","John Henry Brown",1845,"Met",122
"123","Lady with a Dog","Mather Brown",1786,"Met",123
"124","Portrait of a Young Woman","Mather Brown",1801,"Met",124
"125","Spring, Luxembourg Garden","Matilda Auchincloss Brownell",1902,"Met",125
"126","Alan Harriman","George de Forest Brush",1905,"Met",126
"127","Henry George","George de Forest Brush",1903,"Met",127
"128","In the Garden","George de Forest Brush",1906,"Met",128
"129","Mother and Child","George de Forest Brush",1894,"Met",129
"130","Early Morning—Venice","William Gedney Bunce",1905,"Met",130
"131","Eleanor Hardy Bunker","Dennis Miller Bunker",1890,"Met",131
"132","Consolation of Ariadne","Bryson Burroughs",1915,"Met",132
"133","Eurydice Bitten by the Snake","Bryson Burroughs",1930,"Met",133
"134","Yankee Point, Monterey","Howard Russell Butler",1926,"Met",134
"135","Un Jardin, Maison Baptiste","Theodore Earl Butler",1895,"Met",135
"136","Wall Street, Half Past Two, October 13, 1857","James H. Cafferty|Charles G. Rosenberg",1857,"Met",136
"137","After a Long Cruise","John Carlin",1857,"Met",137
"138","The Allen Children","John Carlin",1847,"Met",138
"139","Portrait of a Lady","John Carlin",1844,"Met",139
"140","The Thompson Children","John Carlin",1846,"Met",140
"141","Blackfish and Clams","Emil Carlsen",1890,"Met",141
"142","The Open Sea","Emil Carlsen",1909,"Met",142
"143","Snow Flurries","John Fabian Carlson",1940,"Met",143
"144","Distant View of the Catskills","John William Casilear",1891,"Met",144
"145","Mountain Lake Scene","John William Casilear",1883,"Met",145
"146","The Cup of Tea","Mary Cassatt",1884,"Met",146
"147","Lady at the Tea Table","Mary Cassatt",1885,"Met",147
"148","Lydia Crocheting in the Garden at Marly","Mary Cassatt",1880,"Met",148
"149","Mother and Child (Baby Getting Up from His Nap)","Mary Cassatt",1899,"Met",149
"150","Mother and Child (The Oval Mirror)","Mary Cassatt",1899,"Met",150
"151","Mother and Child with a Rose Scarf","Mary Cassatt",1908,"Met",151
"152","Portrait of a Young Girl","Mary Cassatt",1899,"Met",152
"153","The Last Throw","Charles Robert Leslie",1840,"Met",153
"154","Spring: Margot Standing in a Garden (Fillette dans un jardin)","Mary Cassatt",1900,"Met",154
"155","Taking the Census","Francis William Edmonds",1854,"Met",155
"156","Young Mother Sewing","Mary Cassatt",1900,"Met",156
"157","Mrs. George Catlin (Clara Bartlet Gregory)","George Catlin",1830,"Met",157
"158","Portrait of a Gentleman","George Catlin",1827,"Met",158
"159","Violin and Bow","Jefferson D. Chalfant",1889,"Met",159
"160","The Constitution and the Guerriere","Thomas Chambers",1845,"Met",160
"161","Screen: ""Porcupines"" and ""Nightmare""","Robert Winthrop Chanler",1914,"Met",161
"162","The Roman Campagna","John Gadsby Chapman",1864,"Met",162
"163","George Washington: Design for an Engraving","Alonzo Chappel|Gilbert Stuart",1860,"Met",163
"164","Adult Funeral Procession","William P. Chappel",1870,"Met",164
"165","Baked Pears in Duane Park","William P. Chappel",1870,"Met",165
"166","Baptism","William P. Chappel",1870,"Met",166
"167","Bathing Party","William P. Chappel",1870,"Met",167
"168","Berg's Ship Yard","William P. Chappel",1870,"Met",168
"169","The Boot Black","William P. Chappel",1870,"Met",169
"170","Bull's Head Tavern","William P. Chappel",1870,"Met",170
"171","Buttermilk Pedlar","William P. Chappel",1870,"Met",171
"172","Chimney Sweeps","William P. Chappel",1870,"Met",172
"173","City Watchman","William P. Chappel",1870,"Met",173
"174","The Dog Killer","William P. Chappel",1870,"Met",174
"175","Fighting a Fire","William P. Chappel",1870,"Met",175
"176","Firemen's Washing Day","William P. Chappel",1870,"Met",176
"177","Fly Market","William P. Chappel",1870,"Met",177
"178","The Garbage Cart","William P. Chappel",1870,"Met",178
"179","Hot Corn Seller","William P. Chappel",1870,"Met",179
"180","House Raising","William P. Chappel",1870,"Met",180
"181","Infant Funeral Procession","William P. Chappel",1870,"Met",181
"182","The Lamp Lighter","William P. Chappel",1870,"Met",182
"183","Militia Drilling","William P. Chappel",1870,"Met",183
"184","Old Ferry Stairs","William P. Chappel",1870,"Met",184
"185","The Sewer","William P. Chappel",1870,"Met",185
"186","Strawberry Pedlar","William P. Chappel",1870,"Met",186
"187","Tea Party","William P. Chappel",1870,"Met",187
"188","Tea Rusk and Brick House","William P. Chappel",1870,"Met",188
"189","Tea water pump","William P. Chappel",1870,"Met",189
"190","The Baker's Wagon","William P. Chappel",1870,"Met",190
"191","At the Seaside","William Merritt Chase",1892,"Met",191
"192","Carmencita","William Merritt Chase",1890,"Met",192
"193","Edward Guthrie Kennedy","William Merritt Chase",1895,"Met",193
"194","Fish","William Merritt Chase",1910,"Met",194
"195","For the Little One","William Merritt Chase",1896,"Met",195
"196","James Abbott McNeill Whistler","William Merritt Chase",1885,"Met",196
"197","Lady in Black","William Merritt Chase",1888,"Met",197
"198","Mrs. Chase in Prospect Park","William Merritt Chase",1886,"Met",198
"199","Bessie Potter","William Merritt Chase",1895,"Met",199
"200","Pink Azalea—Chinese Vase","William Merritt Chase",1890,"Met",200
"201","Roland","William Merritt Chase",1902,"Met",201
"202","Seventeenth Century Lady","William Merritt Chase",1895,"Met",202
"203","Still Life: Fish","William Merritt Chase",1908,"Met",203
"204","Houqua","George Chinnery|Ester Speakman",1848,"Met",204
"205","The Aegean Sea","Frederic Edwin Church",1877,"Met",205
"206","Heart of the Andes","Frederic Edwin Church",1859,"Met",206
"207","The Parthenon","Frederic Edwin Church",1871,"Met",207
"208","Dr. Samuel A. Bemis","Alvan Clark",1840,"Met",208
"209","Portrait of a Lady","Alvan Clark",1835,"Met",209
"210","Mrs. Alvan Clark (Maria Pease)","Alvan Clark",1830,"Met",210
"211","Mrs. Henry Pratt (Rebecca Claypoole)","",1800,"Met",211
"212","Bay and Harbor of New York from Bedlow's Island","Edmund C. Coates",1860,"Met",212
"213","Bay and Harbor of New York from Bedlow's Island","Edmund C. Coates",1866,"Met",213
"214","The Rain","William Coffin",1889,"Met",214
"215","The Mountain Ford","Thomas Cole",1846,"Met",215
"216","View from Mount Holyoke, Northampton, Massachusetts, after a Thunderstorm—The Oxbow","Thomas Cole",1836,"Met",216
"217","The Titan's Goblet","Thomas Cole",1833,"Met",217
"218","A View near Tivoli (Morning)","Thomas Cole",1832,"Met",218
"219","View on the Catskill—Early Autumn","Thomas Cole",1837,"Met",219
"220","Alexander Stewart Wetherill","Alfred Q. Collins",1900,"Met",220
"221","Mrs. Alfred Q. Collins","Alfred Q. Collins",1903,"Met",221
"222","Egyptian Revival Triptych","Samuel Colman",1885,"Met",222
"223","Finish—First International Race for America's Cup, August 8, 1870","Samuel Colman",1870,"Met",223
"224","The Hill of the Alhambra, Granada","Samuel Colman",1865,"Met",224
"225","Spanish Peaks, Southern Colorado, Late Afternoon","Samuel Colman",1887,"Met",225
"226","Clearing Off","Charlotte Buell Coman",1907,"Met",226
"227","James Merrill Cook","Nelson Cook",1840,"Met",227
"228","Mrs. James Merrill Cook","Nelson Cook",1840,"Met",228
"229","The Green Coat","Bertha Coolidge",1916,"Met",229
"230","Grand Central Station","Colin Campbell Cooper",1909,"Met",230
"231","New York from the Harbor Showing the Battery and Castle Garden","Alfred Copestick",1858,"Met",231
"232","Daniel Crommelin Verplanck","John Singleton Copley",1771,"Met",232
"233","Gulian Verplanck","John Singleton Copley",1771,"Met",233
"234","Jeremiah Lee","John Singleton Copley",1769,"Met",234
"235","Joseph Sherburne","John Singleton Copley",1770,"Met",235
"236","Midshipman Augustus Brine","John Singleton Copley",1782,"Met",236
"237","Mrs. Jerathmael Bowers","John Singleton Copley",1763,"Met",237
"238","Mrs. John Winthrop","John Singleton Copley",1773,"Met",238
"239","Mrs. Sylvanus Bourne","John Singleton Copley",1766,"Met",239
"240","The Return of Neptune","John Singleton Copley",1754,"Met",240
"241","Richard Dana","John Singleton Copley",1770,"Met",241
"242","Samuel Verplanck","John Singleton Copley",1771,"Met",242
"243","Watson and the Shark","John Singleton Copley",1778,"Met",243
"244","The Peace Pipe","Eanger Irving Couse",1901,"Met",244
"245","Anne Goldthwaite","Sarah Eakin Cowan",1935,"Met",245
"246","Augustus Saint-Gaudens","Kenyon Cox",1908,"Met",246
"247","The Harp Player (A Solo)","Kenyon Cox",1888,"Met",247
"248","Landscape","Kenyon Cox",1883,"Met",248
"249","William Henry Huntington","Caroline Cranch",1881,"Met",249
"250","Autumn Uplands","Bruce Crane",1908,"Met",250
"251","Autumn Landscape, Sugar Loaf Mountain, Orange County, New York","Jasper Francis Cropsey",1875,"Met",251
"252","Pompton Plains, New Jersey","Jasper Francis Cropsey",1867,"Met",252
"253","The Valley of Wyoming","Jasper Francis Cropsey",1865,"Met",253
"254","View near Sherburne, Chenango County, New York","Jasper Francis Cropsey",1853,"Met",254
"255","Wyoming Valley, Pennsylvania","Jasper Francis Cropsey",1864,"Met",255
"256","Skating on the Wissahickon","Johan Mengels Culverhouse",1875,"Met",256
"257","Benson John Lossing","Thomas Seir Cummings",1835,"Met",257
"258","The Bracelet","Thomas Seir Cummings",1835,"Met",258
"259","Mrs. Thomas Streatfield Clarkson (Elizabeth Van Horne)","Thomas Seir Cummings",1844,"Met",259
"260","Gustavus Adolphus Rollins","Thomas Seir Cummings",1835,"Met",260
"261","Levinus Clarkson","Thomas Seir Cummings",1845,"Met",261
"262","Portrait of a Gentleman","Thomas Seir Cummings",1835,"Met",262
"263","Portrait of a Lady","",1855,"Met",263
"264","A Mother's Pearls","Thomas Seir Cummings",1841,"Met",264
"265","Alice Cushman","George Hewitt Cushman",1856,"Met",265
"266","Ida Cushman","George Hewitt Cushman",1856,"Met",266
"267","Self Portrait","George Hewitt Cushman",1839,"Met",267
"268","Rebecca Wetherill","George Hewitt Cushman",1849,"Met",268
"269","The Cloud","Léon Dabo",1910,"Met",269
"270","Slumbering Fog","Elliott Daingerfield",1905,"Met",270
"271","Heart's Ease","William P. W. Dana",1863,"Met",271
"272","Margarette A. Jones","William Dannat",1894,"Met",272
"273","The Quartette (Un quatuor)","William Dannat",1884,"Met",273
"274","Adventure","Arthur B. Davies",1918,"Met",274
"275","Artemis","Arthur B. Davies",1909,"Met",275
"276","Athlete and Dancer","Arthur B. Davies",1897,"Met",276
"277","Dance—Uplift","Arthur B. Davies",1928,"Met",277
"278","Exaltation","Arthur B. Davies",1930,"Met",278
"279","Girdle of Ares","Arthur B. Davies",1914,"Met",279
"280","Italian Hill Town","Arthur B. Davies",1925,"Met",280
"281","A Measure of Dreams","Arthur B. Davies",1908,"Met",281
"282","Unicorns (Legend—Sea Calm)","Arthur B. Davies",1906,"Met",282
"283","Visions of the Sea","Arthur B. Davies",1904,"Met",283
"284","August","Charles Harold Davis",1908,"Met",284
"285","Gooseberries","Joseph Decker",1896,"Met",285
"286","The Wood Cart","Louis Paul Dessar",1908,"Met",286
"287","Sun Shower","Charles Melville Dewey",1912,"Met",287
"288","Green and Gold","Thomas Wilmer Dewing",1917,"Met",288
"289","The Letter","Thomas Wilmer Dewing",1900,"Met",289
"290","Lilac Dress","Thomas Wilmer Dewing",1919,"Met",290
"291","Tobias and the Angel","Thomas Wilmer Dewing",1887,"Met",291
"292","Dr. Valentine Mott","Anson Dickinson",1820,"Met",292
"293","Edward Livingston","Anson Dickinson",1827,"Met",293
"294","John Henry Adam","Anson Dickinson",1835,"Met",294
"295","John Payne Todd","Joseph Wood",1817,"Met",295
"296","Mrs. Robert Watts (Matilda Ridley)","Anson Dickinson",1810,"Met",296
"297","Mr. Rutherford","",1808,"Met",297
"298","J. W. Gale","Anson Dickinson",1807,"Met",298
"299","Portrait of a Gentleman","Daniel Dickinson",1822,"Met",299
"300","George Catlin","John Wood Dodge",1835,"Met",300
"301","Kate Roselie Dodge","John Wood Dodge",1854,"Met",301
"302","Mrs. George P. Burne","John Wood Dodge",1852,"Met",302
"303","Venus in Atrium","William de Leftwich Dodge",1910,"Met",303
"304","Portrait of a Gentleman","William M. S. Doyle",1804,"Met",304
"305","Portrait of a Gentleman","William M. S. Doyle",1814,"Met",305
"306","Self Portrait","William M. S. Doyle",1801,"Met",306
"307","Windflowers","Ruger Donoho",1912,"Met",307
"308","On the Hudson","Thomas Doughty",1835,"Met",308
"309","A River Glimpse","Thomas Doughty",1850,"Met",309
"310","Spring Landscape","Thomas Doughty",1856,"Met",310
"311","Henry Clay","Savinien Edme Dubourjal",1845,"Met",311
"312","Landscape with Shepherd","Robert S. Duncanson",1852,"Met",312
"313","Mrs. Andrew Symmes (Lydia Gale)","",1763,"Met",313
"314","Stephen Salisbury","Nathaniel Hancock",1800,"Met",314
"315","William Gale","Joseph Dunkerley",1776,"Met",315
"316","John Adams Conant","William Dunlap",1829,"Met",316
"317","Mrs. John Adams Conant","William Dunlap",1829,"Met",317
"318","Ariadne","Asher Brown Durand|John Vanderlyn",1835,"Met",318
"319","The Beeches","Asher Brown Durand",1845,"Met",319
"320","High Point: Shandaken Mountains","Asher Brown Durand",1853,"Met",320
"321","In the Woods","Asher Brown Durand",1855,"Met",321
"322","Jonathan Sturges","Asher Brown Durand",1840,"Met",322
"323","Landscape—Scene from ""Thanatopsis""","Asher Brown Durand",1850,"Met",323
"324","Luman Reed","Asher Brown Durand",1835,"Met",324
"325","Mrs. Winfield Scott","Asher Brown Durand",1831,"Met",325
"326","River Scene","Asher Brown Durand",1854,"Met",326
"327","Summer Afternoon","Asher Brown Durand",1865,"Met",327
"328","View of New York from New Jersey","Asher Brown Durand",1850,"Met",328
"329","Boy of the Crossfield Family (Possibly Richard Crossfield)","John Durand",1768,"Met",329
"330","Susannah or Mary Bontecou","John Durand",1770,"Met",330
"331","In the Studio","Helen Winslow Durkee",1916,"Met",331
"332","White Onions","Helen Winslow Durkee",1909,"Met",332
"333","William Wells Durkee","Helen Winslow Durkee",1905,"Met",333
"334","Red School House (Country Scene)","George Henry Durrie",1858,"Met",334
"335","Lady with Fan","Frank Duveneck",1873,"Met",335
"336","Mrs. Augustus Jay","Gerrit Duyckinck",1700,"Met",336
"337","Portrait of a Lady","Gerrit Duyckinck",1715,"Met",337
"338","Arcadia","Thomas Eakins",1883,"Met",338
"339","The Artist's Wife and His Setter Dog","Thomas Eakins",1889,"Met",339
"340","Carmelita Requena","Thomas Eakins",1869,"Met",340
"341","The Chess Players","Thomas Eakins",1876,"Met",341
"342","James MacAlister (Sketch)","Thomas Eakins",1895,"Met",342
"343","The Champion Single Sculls (Max Schmitt in a Single Scull)","Thomas Eakins",1871,"Met",343
"344","Mrs. Mary Arthur","Thomas Eakins",1900,"Met",344
"345","Pushing for Rail","Thomas Eakins",1874,"Met",345
"346","Signora Gomez d'Arza","Thomas Eakins",1902,"Met",346
"347","The Thinker: Portrait of Louis N. Kenton","Thomas Eakins",1900,"Met",347
"348","The Writing Master","Thomas Eakins",1882,"Met",348
"349","Elijah Boardman","Ralph Earl",1789,"Met",349
"350","Lady Williams and Child","Ralph Earl",1783,"Met",350
"351","Marinus Willett","Ralph Earl",1791,"Met",351
"352","Master Rees Goring Thomas","Ralph Earl",1784,"Met",352
"353","Mrs. Noah Smith and Her Children","Ralph Earl",1798,"Met",353
"354","Mrs. Williams","Ralph E. W. Earl",1837,"Met",354
"355","The Alling Children","Oliver Tarbell Eddy",1839,"Met",355
"356","Mother Love","Mira Edgerly",1911,"Met",356
"357","The New Bonnet","Francis William Edmonds",1858,"Met",357
"358","Samuel Humes","Jacob Eichholtz",1825,"Met",358
"359","Isaac D. Fletcher","Carnig Eksergian",1914,"Met",359
"360","Andrew Varick Stout","Charles Loring Elliott",1859,"Met",360
"361","Caleb Gasper","Charles Loring Elliott",1852,"Met",361
"362","Mathew B. Brady","Charles Loring Elliott",1857,"Met",362
"363","Mrs. James Clinton Griswold","Charles Loring Elliott",1854,"Met",363
"364","Portrait of the Artist","Charles Loring Elliott",1850,"Met",364
"365","Preston Hodges","Charles Loring Elliott",1850,"Met",365
"366","The Tow Boat Conqueror","James Guy Evans",1852,"Met",366
"367","Calliope","Joseph Fagnani",1869,"Met",367
"368","Clio","Joseph Fagnani",1869,"Met",368
"369","Erato","Joseph Fagnani",1869,"Met",369
"370","Euterpe","Joseph Fagnani",1869,"Met",370
"371","Melpomene","Joseph Fagnani",1869,"Met",371
"372","Polyhymnia","Joseph Fagnani",1869,"Met",372
"373","Terpsichore","Joseph Fagnani",1869,"Met",373
"374","Thalia","Joseph Fagnani",1869,"Met",374
"375","Urania","Joseph Fagnani",1869,"Met",375
"376","Tench Francis","Robert Feke",1746,"Met",376
"377","Ethel Constance Fernow","Bernice Pauahi Andrews Fernow",1932,"Met",377
"378","The Death of the First Born","Erastus Salisbury Field",1880,"Met",378
"379","Egyptian Scene (possibly Moses and Zipporah)","Erastus Salisbury Field",1880,"Met",379
"380","Girl of the Bangs-Phelps Family","Erastus Salisbury Field",1848,"Met",380
"381","Sharp Delany","Robert Field",1799,"Met",381
"382","George Washington","Robert Field",1800,"Met",382
"383","Robert Gilmor Sr.","Robert Field",1804,"Met",383
"384","Robert Stuart","Robert Field",1804,"Met",384
"385","Sarah Louisa Jenkins","Robert Field",1804,"Met",385
"386","Mark Twain","Charles Noel Flagg",1890,"Met",386
"387","In the Connecticut Hills","Ben Foster",1914,"Met",387
"388","Still Life with Fruit","John F. Francis",1857,"Met",388
"389","Portrait of a Gentleman","William Franks",1795,"Met",389
"390","Alphonso T. Clearwater","August R. Franzen",1906,"Met",390
"391","Dr. Richard A. Maupin","",1825,"Met",391
"392","Dr. Francis Kinloch Huger","Charles Fraser",1825,"Met",392
"393","Mrs. Jean Pierre Barre","Charles Fraser",1820,"Met",393
"394","Powell Macrae","Charles Fraser",1833,"Met",394
"395","Rev. Christopher Edwards Gadsden","Charles Fraser",1819,"Met",395
"396","Henry Clay","Oliver Frazer",1840,"Met",396
"397","Portrait of a Lady","George Freeman",1850,"Met",397
"398","Summer","Frederick Carl Frieseke",1914,"Met",398
"399","Woman with a Mirror (Femme qui se mire)","Frederick Carl Frieseke",1911,"Met",399
"400","Christopher Colles","James Frothingham|John Wesley Jarvis",1816,"Met",400
"401","And She Was a Witch","George Fuller",1884,"Met",401
"402","Ideal Head of a Boy (George Spencer Fuller)","George Fuller",1873,"Met",402
"403","Nydia","George Fuller",1882,"Met",403
"404","The Quadroon","George Fuller",1880,"Met",404
"405","Clara B. Fuller","Lucia Fairchild Fuller",1898,"Met",405
"406","Mrs. Stephen Van Rensselaer III (Cornelia Paterson)","Robert Fulton",1810,"Met",406
"407","John Brown","Robert Fulton",1786,"Met",407
"408","Mrs. Manigault Heyward (Susan Hayne Simmons)","Robert Fulton",1813,"Met",408
"409","Sir Casper Purdon Clarke","Wilhelm Heinrich Funk",1906,"Met",409
"410","A Difficult Question (Une Question Difficile)","Ignaz Marcel Gaugengigl",1883,"Met",410
"411","Broad Acres","Edward Gay",1887,"Met",411
"412","Le Grand Salon, Musée Jacquemart-André","Walter Gay",1913,"Met",412
"413","The Green Lacquer Room, Museo Correr, Venice","Walter Gay",1922,"Met",413
"414","The Green Salon","Walter Gay",1912,"Met",414
"415","William Henry Huntington","Walter Gay",1887,"Met",415
"416","Near the Coast","Robert Swain Gifford",1885,"Met",416
"417","Isola Bella in Lago Maggiore","Sanford Robinson Gifford",1871,"Met",417
"418","A Gorge in the Mountains (Kauterskill Clove)","Sanford Robinson Gifford",1862,"Met",418
"419","Tivoli","Sanford Robinson Gifford",1870,"Met",419
"420","Self-portrait","Thomas Gimbrede",1805,"Met",420
"421","Garden Gate, Near Ascain #7","Anne Goldthwaite",1912,"Met",421
"422","The Green Sofa","Anne Goldthwaite",1940,"Met",422
"423","White Mules on a Bridge","Anne Goldthwaite",1940,"Met",423
"424","A Window at Night","Anne Goldthwaite",1933,"Met",424
"425","Gilbert Stuart","Sarah Goodridge",1825,"Met",425
"426","Alice Goudry","Eliza Goodridge",1835,"Met",426
